split,s_mm,s_over_L,p_kpa,x_mm,y_mm
train,0.0,0.0,10.0,4.005004885103375e-17,-6.226540928001362e-26
train,7.531380753138075,0.03765690376569038,10.0,7.53116949000144,0.04893033734316378
train,15.899581589958158,0.0794979079497908,10.0,15.89765658619645,0.2149822375692737
train,24.26778242677824,0.1213389121338912,10.0,24.261156877818834,0.49361915431526143
train,32.63598326359833,0.16317991631799164,10.0,32.620392894062775,0.8796769365083457
train,41.004184100418406,0.20502092050209203,10.0,40.97428500725734,1.36798145913589
train,49.37238493723849,0.24686192468619247,10.0,49.321942035436244,1.9533530308559897
train,57.74058577405857,0.28870292887029286,10.0,57.662651780619285,2.630610225108434
train,66.10878661087865,0.3305439330543933,10.0,65.99587152125089,3.3945731630020366
train,74.47698744769875,0.37238493723849375,10.0,74.32121847489769,4.240066276624915
train,82.84518828451883,0.4142259414225941,10.0,82.63846024508321,5.161920581700019
train,91.2133891213389,0.45606694560669453,10.0,90.94750526403529,6.1549754887012496
train,99.58158995815899,0.49790794979079495,10.0,99.24839324114167,7.214080181667351
train,107.94979079497908,0.5397489539748954,10.0,107.54128562505437,8.334094594012456
train,116.31799163179916,0.5815899581589958,10.0,115.8264560856526,9.50989001064377
train,124.68619246861924,0.6234309623430963,10.0,124.1042810204699,10.736349325668131
train,133.05439330543933,0.6652719665271967,10.0,132.3752300887117,12.008366984908593
train,141.4225941422594,0.7071129707112971,10.0,140.63985677463614,13.320848642368473
train,149.7907949790795,0.7489539748953975,10.0,148.89878898084348,14.6687105596803
train,158.15899581589957,0.7907949790794979,10.0,157.15271965091588,16.04687877746803
train,166.52719665271965,0.8326359832635982,10.0,165.40239741987068,17.450288087438736
train,174.89539748953973,0.8744769874476986,10.0,173.64861729003613,18.873880833909983
train,183.2635983263598,0.9163179916317991,10.0,181.89221132922683,20.312605573376175
train,191.63179916317992,0.9581589958158996,10.0,190.13403938748758,21.761415620625254
train,200.0,1.0,10.0,198.37497982818837,23.215267509839503
train,0.0,0.0,20.0,-2.505943070482805e-17,9.745474902272595e-25
train,7.531380753138075,0.03765690376569038,20.0,7.530535721790586,0.0978565753130181
train,15.899581589958158,0.0794979079497908,20.0,15.891882402598368,0.429887128944142
train,24.26778242677824,0.1213389121338912,20.0,24.24128660708845,0.986839910794002
train,32.63598326359833,0.16317991631799164,20.0,32.57364783640795,1.7581182079485695
train,41.004184100418406,0.20502092050209203,20.0,40.8846633871088,2.733045800169125
train,49.37238493723849,0.24686192468619247,20.0,49.17079073268253,3.9009023253899437
train,57.74058577405857,0.28870292887029286,20.0,57.4292088762555,5.250953992082044
train,66.10878661087865,0.3305439330543933,20.0,65.65777897107468,6.772479853619352
train,74.47698744769875,0.37238493723849375,20.0,73.85500446770497,8.45479387166707
train,82.84518828451883,0.4142259414225941,20.0,82.01999101085599,10.287263004440556
train,91.2133891213389,0.45606694560669453,20.0,90.15240627460857,12.259321561848099
train,99.58158995815899,0.49790794979079495,20.0,98.25243989263225,14.360482073406207
train,107.94979079497908,0.5397489539748954,20.0,106.32076360985417,16.58034291675604
train,116.31799163179916,0.5815899581589958,20.0,114.35849175400868,18.90859295494696
train,124.68619246861924,0.6234309623430963,20.0,122.36714209959592,21.33501342969866
train,133.05439330543933,0.6652719665271967,20.0,130.34859717301316,23.84947735589424
train,141.4225941422594,0.7071129707112971,20.0,138.30506602599232,26.441946659857212
train,149.7907949790795,0.7489539748953975,20.0,146.23904648496054,29.10246730076572
train,158.15899581589957,0.7907949790794979,20.0,154.15328786651222,31.821162611074328
train,166.52719665271965,0.8326359832635982,20.0,162.0507541338108,34.588225088240925
train,174.89539748953973,0.8744769874476986,20.0,169.93458745538942,37.393906866564166
train,183.2635983263598,0.9163179916317991,20.0,177.80807211645745,40.228509094673186
train,191.63179916317992,0.9581589958158996,20.0,185.67459872341223,43.082370441301926
train,200.0,1.0,20.0,193.53762863476783,45.94585494952936
train,0.0,0.0,30.0,-3.2836718646557154e-16,2.9619076907593657e-24
train,7.531380753138075,0.03765690376569038,30.0,7.529479512100157,0.14677461499285188
train,15.899581589958158,0.0794979079497908,30.0,15.882261521802869,0.6446373648008621
train,24.26778242677824,0.1213389121338912,30.0,24.20819073576541,1.4792642961433469
train,32.63598326359833,0.16317991631799164,30.0,32.49582619205657,2.634090432594318
train,41.004184100418406,0.20502092050209203,30.0,40.73554599225853,4.092284057052329
train,49.37238493723849,0.24686192468619247,30.0,48.91946250306578,5.836866656086012
train,57.74058577405857,0.28870292887029286,30.0,57.0413323475308,7.850816927508103
train,66.10878661087865,0.3305439330543933,30.0,65.09646270037037,10.117159515575917
train,74.47698744769875,0.37238493723849375,30.0,73.08161520894475,12.619039228757657
train,82.84518828451883,0.4142259414225941,30.0,80.99490867569413,15.339781562116299
train,91.2133891213389,0.45606694560669453,30.0,88.83572146068049,18.262940393029485
train,99.58158995815899,0.49790794979079495,30.0,96.60459439572406,21.37233374807433
train,107.94979079497908,0.5397489539748954,30.0,104.30313484535172,24.652068553219742
train,116.31799163179916,0.5815899581589958,30.0,111.93392240497782,28.086555281586488
train,124.68619246861924,0.6234309623430963,30.0,119.50041659373747,31.660513405381945
train,133.05439330543933,0.6652719665271967,30.0,127.00686677828466,35.35896854342715
train,141.4225941422594,0.7071129707112971,30.0,134.45822445458282,39.16724217500888
train,149.7907949790795,0.7489539748953975,30.0,141.8600579170432,43.07093476645034
train,158.15899581589957,0.7907949790794979,30.0,149.21846925800793,47.05590313044623
train,166.52719665271965,0.8326359832635982,30.0,156.5400135651664,51.10823281130453
train,174.89539748953973,0.8744769874476986,30.0,163.83162011964438,55.21420626304424
train,183.2635983263598,0.9163179916317991,30.0,171.10051534281564,59.360267562901925
train,191.63179916317992,0.9581589958158996,30.0,178.35414719497524,63.532984381114204
train,200.0,1.0,30.0,185.60011069353968,67.71900790961614
train,0.0,0.0,40.0,-1.3454196362954847e-15,2.605511711019066e-24
train,7.531380753138075,0.03765690376569038,40.0,7.528000966912789,0.19568035837909342
train,15.899581589958158,0.0794979079497908,40.0,15.86879808013446,0.8591557095372854
train,24.26778242677824,0.1213389121338912,40.0,24.16190110827192,1.970495185650464
train,32.63598326359833,0.16317991631799164,40.0,32.387057958713925,3.506364790678114
train,41.004184100418406,0.20502092050209203,40.0,40.527309991519154,5.442803542373879
train,49.37238493723849,0.24686192468619247,40.0,48.56884069378697,7.755509715565969
train,57.74058577405857,0.28870292887029286,40.0,56.50080787908078,10.420088532827005
train,66.10878661087865,0.3305439330543933,40.0,64.31516425446735,13.412262675639264
train,74.47698744769875,0.37238493723849375,40.0,72.00647057978001,16.708047372468076
train,82.84518828451883,0.4142259414225941,40.0,79.57170504048023,20.283892103365854
train,91.2133891213389,0.45606694560669453,40.0,87.0100718766989,24.116791156487448
train,99.58158995815899,0.49790794979079495,40.0,94.32281176394379,28.184365392683812
train,107.94979079497908,0.5397489539748954,40.0,101.51301593066762,32.464917632194975
train,116.31799163179916,0.5815899581589958,40.0,108.5854455276773,36.937464083778075
train,124.68619246861924,0.6234309623430963,40.0,115.54635733597071,41.58174420198824
train,133.05439330543933,0.6652719665271967,40.0,122.4033365135183,46.378211292504304
train,141.4225941422594,0.7071129707112971,40.0,129.1651367372897,51.30800609715648
train,149.7907949790795,0.7489539748953975,40.0,135.84152779325927,56.35291548752321
